#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-11-19T09:07:42 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-11-19T09:07:42	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=1000&-out.all=2&-order=I&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=J/A+A/475/359&utm_source=chatgpt.com&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_34750359
#Name: J/A+A/475/359
#Title: Predicting radio fluxes of extrasolar planets (Griessmeier+, 2007)
#INFO	ivoid=ivo://cds.vizier/j/a+a/475/359	    IVOID of underlying data collection
#INFO	creator=Griessmeier J.-M.	    First author or institution
#INFO	cites=bibcode:2007A&A...475..359G	    Article or Data origin sources
#INFO	editor=Astronomy and Astrophysics	    Editor name (article)
#INFO	original_date=2007	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/475/359	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.34750359	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-12-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_A_A_475_359_table1:
#Name: J/A+A/475/359/table1
#Title: *Expected exoplanetary radio emission characteristics
#Column	Planet	(a17)	Planet name	[ucd=meta.id;meta.main]
#Column	Mass	(F4.1)	Estimated planetary mass relative to Jupiter	[ucd=phys.mass]
#Column	Rad	(F4.1)	Estimated planetary radius relative to Jupiter	[ucd=phys.size.radius;arith.ratio]
#Column	MM	(F4.1)	Estimated planetary magnetic moment relative to Jupiter	[ucd=phys.magField]
#Column	fc	(F5.1)	Expected maximum emission frequency	[ucd=em.freq]
#Column	fp	(F4.1)	Expected plasma frequency in the stellar wind at the orbital distance of the planet	[ucd=em.freq]
#Column	Phimag	(F6.1)	Expected radio flux density (magnetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	Phikin	(F4.1)	Expected radio flux density (kinetic energy case)	[ucd=phot.flux.density;em.radio]
#Column	PhiCME	(F5.1)	Expected radio flux density (CME case)	[ucd=phot.flux.density;em.radio]
#Column	Stat	(A4)	Status of planet (1)	[ucd=meta.code]
#Column	Star	(a12)	Star associated with the planet (2)	[ucd=meta.id.assoc]
#Column	SimbadName	(a17)	Simbad column added by the CDS	[ucd=meta.id]
#Column	_RA	(F9.5)	Computed Right Ascension for Equinox: J2000	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Computed Declination for Equinox: J2000	[ucd=pos.eq.dec;meta.main]
Planet;Mass;Rad;MM;fc;fp;Phimag;Phikin;PhiCME;Stat;Star;SimbadName;_RA;_DE
HD 2638 b        ; 0.6; 1.0; 0.1;  2.4; 0.7;  31.9; 0.0;  2.4; TL ;HD 2638     ;HD 2638 b        ;007.49947;-05.76400
HD 27442 b       ; 1.5; 1.1; 1.5; 28.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 27442    ;HD 27442 b       ;064.12095;-59.30216
HD 27894 b       ; 0.7; 1.0; 0.7; 16.7; 0.2;   0.1; 0.0;  0.3;(FR);HD 27894    ;HD 27894 b       ;065.19603;-59.41084
HD 27894 b       ; 0.7; 1.0; 0.1;  2.5; 0.2;   0.2; 0.0;  0.5;(TL);HD 27894    ;HD 27894 b       ;065.19603;-59.41084
HD 28185 b       ; 6.6; 1.1; 4.1; 78.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 28185    ;HD 28185 b       ;066.60967;-10.55082
HD 30177 b       ;10.6; 1.0; 4.8;108.0; 0.0;   0.0; 0.0;  0.0; FR ;HD 30177    ;HD 30177 b       ;070.47655;-58.02076
HD 330075 b      ; 0.9; 1.1; 0.2;  3.6; 0.6;  38.9; 0.0;  2.8; TL ;HD 330075   ;HD 330075 b      ;237.40705;-49.96353
HD 33283 b       ; 0.4; 0.9; 0.0;  0.6; 0.4;   0.6; 0.0;  0.3; TL ;HD 33283    ;HD 33283 b       ;077.00422;-26.79747
HD 33564 b       ;10.5; 1.0; 4.8;106.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 33564    ;HD 33564 b       ;080.63972;+79.23115
HD 33636 b       ;10.7; 1.0; 4.8;108.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 33636    ;HD 33636 b       ;077.94354;+04.40354
HD 3651 b        ; 0.2; 0.8; 0.2;  8.0; 0.2;   3.1; 0.1;  3.9;(FR);HD 3651     ;HD 3651 b        ;009.84086;+21.25047
HD 3651 b        ; 0.2; 0.8; 0.0;  0.6; 0.2;   7.4; 0.3;  9.4;(TL);HD 3651     ;HD 3651 b        ;009.84086;+21.25047
HD 37124 b       ; 0.7; 1.0; 0.7; 17.2; 0.1;   0.0; 0.0;  0.0; FR ;HD 37124    ;HD 37124 b       ;084.26036;+20.73079
HD 37124 c       ; 0.8; 1.0; 0.8; 19.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 37124    ;HD 37124 c       ;084.26036;+20.73079
HD 37124 d       ; 0.7; 1.0; 0.7; 17.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 37124    ;HD 37124 d       ;084.26036;+20.73079
HD 37605 b       ; 2.7; 1.1; 2.4; 42.5; 0.3;   1.0; 0.0;  0.5;(FR);HD 37605    ;HD 37605 b       ;085.00721;+06.06058
HD 37605 b       ; 2.7; 1.1; 0.2;  3.7; 0.3;   2.4; 0.0;  1.1;(TL);HD 37605    ;HD 37605 b       ;085.00721;+06.06058
HD 38529 b       ; 0.9; 1.1; 0.1;  1.3; 0.4;   2.2; 0.1;  1.2; TL ;HD 38529    ;HD 38529 b       ;086.64547;+01.16819
HD 38529 c       ;14.7; 1.0; 5.2;134.7; 0.0;   0.0; 0.0;  0.0; FR ;HD 38529    ;HD 38529 c       ;086.64547;+01.16819
HD 39091 b       ;12.0; 1.0; 4.9;117.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 39091    ;HD 39091 b       ;084.29122;-80.46912
HD 40979 b       ; 3.8; 1.1; 3.1; 54.5; 0.1;   0.0; 0.1;  0.0; FR ;HD 40979    ;HD 40979 b       ;091.12458;+44.26056
HD 41004 A b     ; 2.7; 1.1; 2.4; 43.1; 0.1;   0.0; 0.0;  0.0; FR ;HD 41004A   ;HD 41004 A b     ;089.95687;-48.23969
HD 41004 B b     ;21.2; 0.9; 2.3; 70.3; 1.0; 820.7; 0.0;  7.4; TL ;HD 41004B   ;HD 41004 B b     ;089.95687;-48.23969
HD 4203 b        ; 1.9; 1.1; 1.9; 34.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 4203     ;HD 4203 b        ;011.17168;+20.44893
HD 4208 b        ; 0.9; 1.0; 0.9; 21.1; 0.0;   0.0; 0.0;  0.0; FR ;HD 4208     ;HD 4208 b        ;011.11104;-26.51568
HD 4308 b        ; 0.1; 0.6; 0.0;  1.8; 0.2;   0.4; 0.0;  0.7;(FR);HD 4308     ;HD 4308 b        ;011.16362;-65.64952
HD 4308 b        ; 0.1; 0.6; 0.0;  0.2; 0.2;   0.9; 0.1;  1.5;(TL);HD 4308     ;HD 4308 b        ;011.16362;-65.64952
HD 45350 b       ; 2.1; 1.1; 2.0; 36.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 45350    ;HD 45350 b       ;097.19046;+38.96296
HD 46375 b       ; 0.3; 0.9; 0.0;  1.3; 0.9; 139.8; 0.1;  7.9; TL ;HD 46375    ;HD 46375 b       ;098.30260;+05.46293
HD 47536 b       ; 5.7; 1.1; 3.8; 71.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 47536    ;HD 47536 b       ;099.44842;-32.33972
HD 49674 b       ; 0.1; 0.8; 0.0;  0.4; 1.3;  56.9; 0.4;  4.3; TL ;HD 49674    ;HD 49674 b       ;102.87717;+40.86775
HD 50499 b       ; 2.0; 1.1; 1.9; 35.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 50499    ;HD 50499 b       ;103.00843;-33.91556
HD 50554 b       ; 5.7; 1.1; 3.8; 70.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 50554    ;HD 50554 b       ;103.67844;+24.24556
HD 52265 b       ; 1.3; 1.1; 1.3; 26.0; 0.1;   0.0; 0.0;  0.1; FR ;HD 52265    ;HD 52265 b       ;105.07515;-05.36716
HD 59686 b       ; 6.1; 1.1; 3.9; 74.0; 0.0;   0.0; 0.0;  0.0; FR ;HD 59686    ;HD 59686 b       ;112.95165;+17.08605
HD 62509 b       ; 3.3; 1.1; 2.9; 49.5; 0.0;   0.0; 0.0;  0.0; FR ;HD 62509    ;HD 62509 b       ;116.32500;+28.02611
HD 63454 b       ; 0.4; 1.0; 0.1;  2.3; 0.7; 153.7; 0.1;  7.4; TL ;HD 63454    ;HD 63454 b       ;114.84105;-78.27897
HD 6434 b        ; 0.6; 1.0; 0.5; 13.5; 0.1;   0.5; 0.0;  0.4;(FR);HD 6434     ;HD 6434 b        ;016.16730;-39.48822
HD 6434 b        ; 0.6; 1.0; 0.1;  1.8; 0.1;   0.9; 0.0;  0.7;(TL);HD 6434     ;HD 6434 b        ;016.16730;-39.48822
HD 65216 b       ; 1.4; 1.1; 1.4; 27.9; 0.0;   0.0; 0.0;  0.0; FR ;HD 65216    ;HD 65216 b       ;118.42218;-63.64732
HD 66428 b       ; 3.3; 1.1; 2.8; 49.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 66428    ;HD 66428 b       ;120.86944;-01.16271
HD 68988 b       ; 2.2; 1.2; 0.3;  4.3; 0.8;   6.5; 0.1;  1.1; TL ;HD 68988    ;HD 68988 b       ;124.59239;+61.46072
HD 69830 b       ; 0.0; 0.6; 0.0;  0.0; 0.3; 164.5; 1.0;198.6; TL ;HD 69830    ;HD 69830 b       ;124.59978;-12.63217
HD 69830 c       ; 0.0; 0.5; 0.0;  2.0; 0.1;   0.1; 0.1;  0.9;(FR);HD 69830    ;HD 69830 c       ;124.59978;-12.63217
HD 69830 c       ; 0.0; 0.5; 0.0;  0.2; 0.1;   0.2; 0.1;  2.1;(TL);HD 69830    ;HD 69830 c       ;124.59978;-12.63217
HD 69830 d       ; 0.1; 0.6; 0.0;  4.0; 0.0;   0.0; 0.0;  0.1; FR ;HD 69830    ;HD 69830 d       ;124.59978;-12.63217
HD 70642 b       ; 2.3; 1.1; 2.2; 39.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 70642    ;HD 70642 b       ;125.36723;-39.70541
HD 72659 b       ; 3.4; 1.1; 2.9; 51.0; 0.0;   0.0; 0.0;  0.0; FR ;HD 72659    ;HD 72659 b       ;128.51329;-01.56822
HD 73256 b       ; 2.2; 1.2; 0.5;  8.2; 4.2; 152.1; 7.0;  7.0; TL ;HD 73256    ;HD 73256 b       ;129.09590;-30.03763
HD 73526 b       ; 3.3; 1.1; 2.9; 49.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 73526    ;HD 73526 b       ;129.31868;-41.31910
HD 73526 c       ; 2.9; 1.1; 2.6; 45.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 73526    ;HD 73526 c       ;129.31867;-41.31911
HD 74156 b       ; 2.1; 1.1; 2.1; 36.5; 0.4;   0.1; 0.0;  0.1;(FR);HD 74156    ;HD 74156 b       ;130.60468;+04.57810
HD 74156 b       ; 2.1; 1.1; 0.2;  3.3; 0.4;   0.2; 0.0;  0.3;(TL);HD 74156    ;HD 74156 b       ;130.60468;+04.57810
HD 74156 c       ; 7.1; 1.1; 4.2; 82.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 74156    ;HD 74156 c       ;130.60468;+04.57810
HD 75289 b       ; 0.5; 1.0; 0.1;  2.0; 0.8; 123.8; 0.2;  8.9; TL ;HD 75289    ;HD 75289 b       ;131.91829;-41.73679
HD 76700 b       ; 0.2; 0.9; 0.0;  0.9; 0.8;  32.1; 0.0;  2.1; TL ;HD 76700    ;HD 76700 b       ;133.48131;-66.80099
HD 80606 b       ; 3.9; 1.1; 0.0;  0.8; 0.8; 148.0; 0.1;  6.7; TL ;HD 80606    ;HD 80606 b       ;140.65653;+50.60372
HD 81040 b       ; 7.9; 1.1; 4.3; 88.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 81040    ;HD 81040 b       ;140.94620;+20.36445
HD 82943 b       ; 2.0; 1.1; 2.0; 35.6; 0.0;   0.0; 0.0;  0.0; FR ;HD 82943    ;HD 82943 b       ;143.71140;-12.12955
HD 82943 c       ; 2.3; 1.1; 2.2; 38.9; 0.1;   0.0; 0.0;  0.0; FR ;HD 82943    ;HD 82943 c       ;143.71140;-12.12955
HD 83443 b       ; 0.5; 1.0; 0.1;  2.4; 1.0;  63.1; 0.2;  3.9; TL ;HD 83443    ;HD 83443 b       ;144.29929;-43.27219
HD 8574 b        ; 2.6; 1.1; 2.4; 41.8; 0.0;   0.0; 0.0;  0.0; FR ;HD 8574     ;HD 8574 b        ;021.30215;+28.56669
HD 86081 b       ; 1.7; 1.2; 0.5;  7.7; 1.2;  16.9; 0.0;  1.0; TL ;HD 86081    ;HD 86081 b       ;149.02466;-03.80842
HD 88133 b       ; 0.3; 0.9; 0.0;  0.9; 0.7;  17.1; 0.0;  1.6; TL ;HD 88133    ;HD 88133 b       ;152.53198;+18.18687
HD 89307 b       ; 3.2; 1.1; 2.7; 48.2; 0.0;   0.0; 0.0;  0.0; FR ;HD 89307    ;HD 89307 b       ;154.58870;+12.62111
HD 89744 b       ; 9.2; 1.0; 4.6; 97.7; 0.2;   0.0; 0.0;  0.0; FR ;HD 89744    ;HD 89744 b       ;155.54375;+41.22944
HD 92788 b       ; 4.5; 1.1; 3.4; 60.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 92788    ;HD 92788 b       ;160.70220;-02.18376
HD 93083 b       ; 0.4; 0.9; 0.4; 12.4; 0.0;   0.0; 0.0;  0.0; FR ;HD 93083    ;HD 93083 b       ;161.08715;-33.57702
HD 99109 b       ; 0.6; 1.0; 0.6; 15.3; 0.0;   0.0; 0.0;  0.0; FR ;HD 99109    ;HD 99109 b       ;171.07232;-01.52908
HD 99492 b       ; 0.1; 0.7; 0.0;  0.3; 0.2;   5.8; 0.2;  4.6; TL ;HD 99492    ;HD 99492 b       ;171.69282;+03.00633
HIP 14810 b      ; 4.4; 1.1; 0.4;  6.8; 0.5;   7.5; 0.0;  1.2; TL ;HIP 14810   ;BD+20 518b       ;047.80929;+21.09736
HIP 14810 c      ; 0.9; 1.0; 0.9; 19.8; 0.1;   0.0; 0.0;  0.0;(FR);HIP 14810   ;BD+20 518c       ;047.80929;+21.09736
HIP 14810 c      ; 0.9; 1.0; 0.1;  1.3; 0.1;   0.0; 0.0;  0.1;(TL);HIP 14810   ;BD+20 518c       ;047.80929;+21.09736
HIP 75458 b      ;10.2; 1.0; 4.7;105.0; 0.1;   0.0; 0.0;  0.0; FR ;HIP 75458   ;HD 137759b       ;231.23239;+58.96607
HR 810 b         ; 2.2; 1.1; 2.1; 38.1; 0.1;   0.1; 0.3;  0.1; FR ;HR 810      ;HD 17051 b       ;040.63944;-50.80029
OGLE-TR-10 b     ; 0.6; 1.1; 0.1;  2.3; 1.0;   0.1; 0.0;  0.0; TL ;OGLE-TR-10  ;NAME OGLE-TR-10b ;267.86771;-29.87636
OGLE-TR-111 b    ; 0.5; 1.0; 0.1;  2.3; 0.5;   0.0; 0.0;  0.0; TL ;OGLE-TR-111 ;NAME OGLE-TR-111b;163.32462;-61.40564
OGLE-TR-113 b    ; 1.3; 1.1; 0.5;  9.6; 1.4;   0.4; 0.0;  0.0; TL ;OGLE-TR-113 ;NAME OGLE-TR-113b;163.10167;-61.44681
OGLE-TR-132 b    ; 1.2; 1.1; 0.4;  7.2; 8.3;   0.2; 0.0;  0.0; TL ;OGLE-TR-132 ;NAME OGLE-TR-132b;162.64458;-61.95722
OGLE-TR-56 b     ; 1.2; 1.2; 0.6;  7.2; 3.7;   0.8; 0.0;  0.0; TL ;OGLE-TR-56  ;NAME OGLE-TR-56b ;269.14796;-29.53922
rho CrB b        ; 1.2; 1.1; 1.2; 24.3; 0.0;   0.0; 0.0;  0.5;(FR);rho CrB     ;* rho CrB b      ;240.26109;+33.30351
rho CrB b        ; 1.2; 1.1; 0.1;  2.5; 0.0;   0.1; 0.0;  1.1;(TL);rho CrB     ;* rho CrB b      ;240.26109;+33.30351
SWEEPS-04        ; 3.8; 0.8; 0.3; 14.1; 0.7;   0.0; 0.0;  0.0; TL ;SWEEPS 04   ;SWEEPS-04        ;269.72467;-29.18906
SWEEPS-11        ; 9.7; 1.1; 1.7; 28.5; 1.5;   0.1; 0.0;  0.0; TL ;SWEEPS 11   ;SWEEPS-11        ;269.76112;-29.19819
Tau Boo b        ; 4.5; 1.2; 0.7; 11.1; 1.8; 286.3; 3.1; 22.5; TL ;Tau Boo     ;Tau Boo b        ;206.81558;+17.45692
TrES-1           ; 0.7; 1.1; 0.2;  3.1; 1.5;  13.1; 0.0;  0.5; TL ;TrES-1      ;TrES-1           ;286.04102;+36.63265
Ups And b        ; 0.8; 1.1; 0.1;  2.4; 0.7; 178.5; 0.9; 25.7; TL ;* ups And   ;* ups And b      ;024.19933;+41.40547
Ups And c        ; 2.3; 1.1; 2.2; 38.4; 0.0;   0.0; 0.0;  0.1; FR ;* ups And   ;* ups And c      ;024.19933;+41.40547
Ups And d        ; 4.6; 1.1; 3.4; 61.4; 0.0;   0.0; 0.0;  0.0; FR ;* ups And   ;* ups And d      ;024.19933;+41.40547
XO-1 b           ; 0.9; 1.2; 0.2;  2.4; 0.6;   2.0; 0.0;  0.2; TL ;Name XO-1   ;XO-1 b           ;240.54933;+28.16956

